time,species_1,species_2,species_3,species_4
0.000E+00,9.221E-03,2.124E+00,1.379E+01,1.047E+02
5.00000E-02,9.28512E-03,2.10252E+00,1.40197E+01,9.98668E+01
1.00000E-01,9.28285E-03,2.11420E+00,1.43289E+01,9.87810E+01
1.50000E-01,9.15043E-03,2.07877E+00,1.47289E+01,9.98288E+01
2.00000E-01,9.02244E-03,2.02199E+00,1.48932E+01,1.00164E+02
2.50000E-01,8.98677E-03,2.01834E+00,1.47693E+01,9.99954E+01
3.00000E-01,8.88410E-03,2.02000E+00,1.48993E+01,9.95610E+01
3.50000E-01,8.94877E-03,2.07527E+00,1.49468E+01,1.00222E+02
4.00000E-01,8.86355E-03,2.04284E+00,1.50055E+01,9.85998E+01
4.50000E-01,8.80411E-03,2.00045E+00,1.48348E+01,1.00196E+02
5.00000E-01,9.20080E-03,2.03450E+00,1.47491E+01,9.95575E+01
5.50000E-01,9.18711E-03,2.03918E+00,1.45240E+01,1.01206E+02
6.00000E-01,9.09073E-03,2.04430E+00,1.51277E+01,9.90593E+01
6.50000E-01,8.81051E-03,2.06146E+00,1.53071E+01,1.01969E+02
7.00000E-01,8.66725E-03,2.08965E+00,1.55909E+01,1.02578E+02
7.50000E-01,8.77127E-03,2.04138E+00,1.56759E+01,1.02084E+02
8.00000E-01,8.33213E-03,1.96942E+00,1.49757E+01,1.00193E+02
8.50000E-01,8.24515E-03,1.98112E+00,1.49590E+01,1.00832E+02
9.00000E-01,8.25232E-03,1.93286E+00,1.52352E+01,1.00954E+02
9.50000E-01,8.07227E-03,1.92962E+00,1.52626E+01,1.00788E+02
1.00000E+00,8.08406E-03,1.92671E+00,1.51984E+01,1.00964E+02
1.05000E+00,7.89693E-03,1.97210E+00,1.56307E+01,9.98097E+01
1.10000E+00,8.08916E-03,1.96927E+00,1.55945E+01,9.99246E+01
1.15000E+00,8.46351E-03,1.98510E+00,1.58081E+01,9.89915E+01
1.20000E+00,8.39340E-03,2.02808E+00,1.57093E+01,9.92424E+01
1.25000E+00,8.34733E-03,2.03300E+00,1.50726E+01,9.96790E+01
1.30000E+00,8.09387E-03,2.09183E+00,1.52291E+01,1.00802E+02
1.35000E+00,7.99174E-03,2.12712E+00,1.49774E+01,1.01216E+02
1.40000E+00,8.07473E-03,2.17437E+00,1.51825E+01,1.00093E+02
1.45000E+00,8.06814E-03,2.13797E+00,1.50055E+01,1.00167E+02
1.50000E+00,8.23409E-03,2.08390E+00,1.52355E+01,1.00334E+02
1.55000E+00,8.32675E-03,2.12323E+00,1.50371E+01,9.92954E+01
1.60000E+00,8.74697E-03,2.09943E+00,1.48909E+01,1.01384E+02
1.65000E+00,8.87939E-03,2.05555E+00,1.50256E+01,9.96572E+01
1.70000E+00,8.73180E-03,2.07263E+00,1.50676E+01,1.00868E+02
1.75000E+00,8.67656E-03,1.99360E+00,1.46640E+01,9.97769E+01
1.80000E+00,8.22733E-03,2.02164E+00,1.50303E+01,1.01180E+02
1.85000E+00,8.27871E-03,2.06268E+00,1.51286E+01,1.01264E+02
1.90000E+00,8.58133E-03,1.99976E+00,1.50740E+01,1.00061E+02
1.95000E+00,8.55558E-03,1.97427E+00,1.50750E+01,1.00639E+02
2.00000E+00,8.73903E-03,1.97053E+00,1.52813E+01,1.01263E+02
2.05000E+00,8.68428E-03,2.02871E+00,1.51634E+01,1.00829E+02
2.10000E+00,8.49591E-03,1.96930E+00,1.49891E+01,1.01066E+02
2.15000E+00,8.51114E-03,2.01587E+00,1.48449E+01,9.86885E+01
2.20000E+00,8.55436E-03,1.95979E+00,1.48689E+01,9.89562E+01
2.25000E+00,8.49719E-03,1.92540E+00,1.46061E+01,9.97289E+01
2.30000E+00,8.45881E-03,1.85957E+00,1.48623E+01,1.01156E+02
2.35000E+00,8.29075E-03,1.88220E+00,1.51973E+01,1.00745E+02
2.40000E+00,8.55268E-03,1.93841E+00,1.46821E+01,1.00463E+02
2.45000E+00,8.80727E-03,1.92157E+00,1.45329E+01,9.92612E+01
2.50000E+00,8.66504E-03,1.91018E+00,1.49981E+01,1.00938E+02
2.55000E+00,8.72785E-03,1.92794E+00,1.53335E+01,1.00736E+02
2.60000E+00,8.83899E-03,1.81794E+00,1.48450E+01,9.88511E+01
2.65000E+00,8.75250E-03,1.85920E+00,1.51836E+01,9.92086E+01
2.70000E+00,9.08881E-03,1.91376E+00,1.47791E+01,9.99601E+01
2.75000E+00,9.00000E-03,1.87158E+00,1.49587E+01,9.98307E+01
2.80000E+00,8.97064E-03,1.93684E+00,1.44531E+01,1.01056E+02
2.85000E+00,9.10208E-03,1.96756E+00,1.47025E+01,9.88028E+01
2.90000E+00,9.25429E-03,1.95823E+00,1.48294E+01,9.68998E+01
2.95000E+00,9.44352E-03,1.96613E+00,1.46401E+01,1.00746E+02
3.00000E+00,9.82153E-03,1.98250E+00,1.47716E+01,9.97473E+01
3.05000E+00,9.88814E-03,1.99694E+00,1.50560E+01,9.89498E+01
3.10000E+00,1.00684E-02,2.01141E+00,1.51503E+01,9.81438E+01
3.15000E+00,1.00278E-02,2.00923E+00,1.52442E+01,1.00438E+02
3.20000E+00,1.00513E-02,2.06147E+00,1.50407E+01,1.00109E+02
3.25000E+00,1.00478E-02,2.02702E+00,1.48885E+01,1.01074E+02
3.30000E+00,9.97179E-03,2.07238E+00,1.51306E+01,1.00563E+02
3.35000E+00,9.96917E-03,2.08229E+00,1.51369E+01,1.00971E+02
3.40000E+00,1.00707E-02,2.11467E+00,1.48358E+01,1.00934E+02
3.45000E+00,1.07455E-02,2.10044E+00,1.47272E+01,9.92904E+01
3.50000E+00,1.08661E-02,2.05014E+00,1.48120E+01,1.00925E+02
3.55000E+00,1.07695E-02,2.09481E+00,1.45008E+01,9.97647E+01
3.60000E+00,1.06901E-02,2.06056E+00,1.50862E+01,1.00266E+02
3.65000E+00,1.06843E-02,2.02519E+00,1.52494E+01,9.97149E+01
3.70000E+00,1.07633E-02,2.01142E+00,1.46604E+01,9.79584E+01
3.75000E+00,1.06276E-02,2.00404E+00,1.44442E+01,1.01127E+02
3.80000E+00,1.04716E-02,1.95019E+00,1.50686E+01,9.94525E+01
3.85000E+00,1.00383E-02,1.94783E+00,1.50799E+01,9.99990E+01
3.90000E+00,1.00461E-02,2.03026E+00,1.53565E+01,1.01097E+02
3.95000E+00,9.81621E-03,2.09462E+00,1.51619E+01,1.00797E+02
4.00000E+00,9.38322E-03,2.05120E+00,1.53934E+01,9.98517E+01
4.05000E+00,9.08231E-03,2.00624E+00,1.49930E+01,9.97077E+01
4.10000E+00,9.07101E-03,1.94447E+00,1.51717E+01,9.81320E+01
4.15000E+00,9.29211E-03,1.93554E+00,1.53771E+01,1.00453E+02
4.20000E+00,9.16004E-03,1.95719E+00,1.49574E+01,9.93325E+01
4.25000E+00,9.13823E-03,1.93189E+00,1.51861E+01,9.94306E+01
4.30000E+00,9.13052E-03,1.96202E+00,1.47831E+01,1.00657E+02
4.35000E+00,8.93984E-03,1.93816E+00,1.48424E+01,1.01339E+02
4.40000E+00,8.99835E-03,1.91293E+00,1.49722E+01,9.93734E+01
4.45000E+00,9.02684E-03,1.91908E+00,1.49485E+01,1.00017E+02
4.50000E+00,9.40564E-03,1.96623E+00,1.47312E+01,9.96017E+01
4.55000E+00,9.59514E-03,1.94982E+00,1.45263E+01,1.01160E+02
4.60000E+00,9.27629E-03,2.00047E+00,1.47633E+01,9.97206E+01
4.65000E+00,9.51324E-03,1.99424E+00,1.52766E+01,1.00192E+02
4.70000E+00,9.44955E-03,2.02959E+00,1.52239E+01,1.00700E+02
4.75000E+00,9.85566E-03,2.05428E+00,1.53920E+01,9.79780E+01
4.80000E+00,9.98811E-03,1.99989E+00,1.50995E+01,9.92240E+01
4.85000E+00,9.98208E-03,1.97211E+00,1.48485E+01,1.00351E+02
4.90000E+00,1.00323E-02,1.97145E+00,1.51048E+01,9.99131E+01
4.95000E+00,9.83271E-03,2.03929E+00,1.50341E+01,1.02399E+02
5.00000E+00,9.90836E-03,2.03241E+00,1.50726E+01,1.00293E+02
5.05000E+00,9.98916E-03,2.03851E+00,1.50892E+01,1.01081E+02
5.10000E+00,1.00502E-02,2.08707E+00,1.53397E+01,9.73366E+01
5.15000E+00,1.01449E-02,2.04452E+00,1.48947E+01,9.98637E+01
5.20000E+00,1.03128E-02,2.10441E+00,1.47485E+01,9.96090E+01
5.25000E+00,1.00590E-02,2.04786E+00,1.48535E+01,1.01951E+02
5.30000E+00,1.01550E-02,2.12699E+00,1.52528E+01,1.01118E+02
5.35000E+00,1.01409E-02,2.09144E+00,1.48291E+01,9.82628E+01
5.40000E+00,1.01059E-02,2.12274E+00,1.49977E+01,9.86760E+01
5.45000E+00,1.03071E-02,2.12465E+00,1.54127E+01,1.02099E+02
5.50000E+00,1.01225E-02,2.11855E+00,1.52193E+01,1.00968E+02
5.55000E+00,1.01625E-02,2.06797E+00,1.53020E+01,1.00711E+02
5.60000E+00,1.01763E-02,2.03327E+00,1.49661E+01,1.00751E+02
5.65000E+00,9.96752E-03,2.02005E+00,1.48087E+01,1.00027E+02
5.70000E+00,9.52938E-03,2.05018E+00,1.44040E+01,1.01866E+02
5.75000E+00,9.41093E-03,2.04655E+00,1.47647E+01,9.93491E+01
5.80000E+00,9.23678E-03,2.03099E+00,1.50257E+01,1.00399E+02
5.85000E+00,8.87891E-03,2.06168E+00,1.49403E+01,1.00596E+02
5.90000E+00,9.19659E-03,2.03075E+00,1.50564E+01,9.95247E+01
5.95000E+00,9.26102E-03,2.09978E+00,1.51565E+01,1.00281E+02
6.00000E+00,9.11083E-03,2.00224E+00,1.52046E+01,9.88749E+01
6.05000E+00,8.90284E-03,2.03022E+00,1.55582E+01,1.00740E+02
6.10000E+00,8.94463E-03,2.04696E+00,1.54618E+01,1.00792E+02
6.15000E+00,9.17913E-03,2.08427E+00,1.51694E+01,9.89368E+01
6.20000E+00,9.05674E-03,2.11872E+00,1.54024E+01,1.01046E+02
6.25000E+00,9.03138E-03,2.11448E+00,1.53778E+01,1.01127E+02
6.30000E+00,9.12932E-03,2.16693E+00,1.49778E+01,9.89822E+01
6.35000E+00,8.97819E-03,2.10450E+00,1.46900E+01,9.94737E+01
6.40000E+00,9.37453E-03,2.08708E+00,1.44465E+01,9.94032E+01
6.45000E+00,9.13175E-03,2.10103E+00,1.43134E+01,9.83674E+01
6.50000E+00,8.87853E-03,2.09962E+00,1.46906E+01,1.00152E+02
6.55000E+00,8.68674E-03,2.07231E+00,1.47387E+01,9.97829E+01
6.60000E+00,9.09681E-03,2.07955E+00,1.47066E+01,9.90249E+01
6.65000E+00,9.13283E-03,2.13391E+00,1.50076E+01,9.94371E+01
6.70000E+00,9.24585E-03,2.15432E+00,1.51342E+01,9.92887E+01
6.75000E+00,9.05671E-03,2.01217E+00,1.49334E+01,1.00853E+02
6.80000E+00,9.03791E-03,2.02016E+00,1.50073E+01,1.00645E+02
6.85000E+00,8.67268E-03,2.12776E+00,1.47842E+01,1.01510E+02
6.90000E+00,8.29593E-03,2.07734E+00,1.45665E+01,1.00021E+02
6.95000E+00,7.93301E-03,2.08303E+00,1.51352E+01,9.93935E+01
7.00000E+00,7.90454E-03,2.14814E+00,1.50828E+01,9.85454E+01
7.05000E+00,7.41523E-03,2.10469E+00,1.51342E+01,9.99936E+01
7.10000E+00,7.41500E-03,2.04849E+00,1.50926E+01,1.01621E+02
7.15000E+00,7.32002E-03,2.03604E+00,1.54306E+01,9.70371E+01
7.20000E+00,7.09967E-03,2.07192E+00,1.49209E+01,9.91055E+01
7.25000E+00,6.97709E-03,2.02120E+00,1.53444E+01,1.00683E+02
7.30000E+00,6.70994E-03,1.97478E+00,1.51338E+01,9.96961E+01
7.35000E+00,6.73065E-03,1.92464E+00,1.51764E+01,9.94985E+01
7.40000E+00,6.86810E-03,1.94355E+00,1.54454E+01,9.88968E+01
7.45000E+00,6.93458E-03,1.96582E+00,1.48216E+01,9.76436E+01
7.50000E+00,7.26087E-03,1.88712E+00,1.49267E+01,1.02010E+02
7.55000E+00,7.11554E-03,1.91110E+00,1.49054E+01,9.80629E+01
7.60000E+00,7.26815E-03,1.92068E+00,1.55373E+01,1.00470E+02
7.65000E+00,7.31211E-03,1.82281E+00,1.52344E+01,1.00713E+02
7.70000E+00,7.26497E-03,1.82422E+00,1.51021E+01,9.98937E+01
7.75000E+00,7.26001E-03,1.81794E+00,1.49145E+01,9.82312E+01
7.80000E+00,7.27886E-03,1.82503E+00,1.50937E+01,9.84964E+01
7.85000E+00,7.12832E-03,1.86097E+00,1.50396E+01,1.00834E+02
7.90000E+00,7.20030E-03,1.90128E+00,1.51855E+01,1.01188E+02
7.95000E+00,7.64617E-03,1.94084E+00,1.50194E+01,9.93491E+01
8.00000E+00,8.13451E-03,1.94598E+00,1.52889E+01,1.00028E+02
8.05000E+00,8.10502E-03,1.89209E+00,1.50413E+01,9.90364E+01
8.10000E+00,8.15490E-03,1.91146E+00,1.49903E+01,9.91204E+01
8.15000E+00,8.14362E-03,1.89243E+00,1.48751E+01,9.85519E+01
8.20000E+00,7.94167E-03,1.91733E+00,1.47074E+01,9.91152E+01
8.25000E+00,7.84671E-03,1.99276E+00,1.47511E+01,1.01420E+02
8.30000E+00,8.09835E-03,1.97108E+00,1.50893E+01,9.99709E+01
8.35000E+00,8.29410E-03,1.99917E+00,1.51859E+01,9.99814E+01
8.40000E+00,8.53404E-03,2.05012E+00,1.50283E+01,1.00226E+02
8.45000E+00,8.74910E-03,1.97448E+00,1.50576E+01,9.99249E+01
8.50000E+00,8.81069E-03,1.95796E+00,1.50989E+01,1.00539E+02
8.55000E+00,8.83134E-03,1.93468E+00,1.53681E+01,1.00624E+02
8.60000E+00,9.06762E-03,1.96496E+00,1.51763E+01,1.00624E+02
8.65000E+00,8.96344E-03,1.90207E+00,1.53705E+01,1.00967E+02
8.70000E+00,9.12636E-03,1.91083E+00,1.51745E+01,1.01384E+02
8.75000E+00,9.05652E-03,1.93916E+00,1.47714E+01,9.94636E+01
8.80000E+00,8.87031E-03,1.92295E+00,1.51261E+01,9.91970E+01
8.85000E+00,8.88467E-03,1.84297E+00,1.51292E+01,9.98411E+01
8.90000E+00,8.56918E-03,1.85205E+00,1.48516E+01,1.00705E+02
8.95000E+00,8.65092E-03,1.88868E+00,1.47114E+01,9.84625E+01
9.00000E+00,9.00535E-03,1.92539E+00,1.48235E+01,1.01624E+02
9.05000E+00,9.30678E-03,1.88557E+00,1.47198E+01,1.00981E+02
9.10000E+00,9.47455E-03,2.01524E+00,1.51016E+01,9.89837E+01
9.15000E+00,9.65280E-03,2.00178E+00,1.47044E+01,9.90279E+01
9.20000E+00,9.69120E-03,1.98340E+00,1.47576E+01,1.02138E+02
9.25000E+00,9.83303E-03,1.96487E+00,1.49415E+01,1.00409E+02
9.30000E+00,9.44110E-03,1.99720E+00,1.46404E+01,1.01117E+02
9.35000E+00,9.32055E-03,2.06796E+00,1.49000E+01,1.00205E+02
9.40000E+00,9.03058E-03,2.03815E+00,1.48034E+01,1.00758E+02
9.45000E+00,8.79956E-03,2.01109E+00,1.50777E+01,9.98622E+01
9.50000E+00,8.85209E-03,2.05285E+00,1.46179E+01,1.00623E+02
9.55000E+00,8.95677E-03,2.12771E+00,1.47029E+01,9.95986E+01
9.60000E+00,8.96161E-03,2.07540E+00,1.46502E+01,1.00289E+02
9.65000E+00,8.96104E-03,2.03272E+00,1.46470E+01,1.00382E+02
9.70000E+00,8.98133E-03,2.00067E+00,1.48730E+01,9.81321E+01
9.75000E+00,8.60881E-03,1.97954E+00,1.47216E+01,1.00901E+02
9.80000E+00,8.56119E-03,1.96411E+00,1.47797E+01,9.92314E+01
9.85000E+00,8.32489E-03,1.99605E+00,1.50114E+01,1.00053E+02
9.90000E+00,8.41766E-03,2.00567E+00,1.51453E+01,9.90463E+01
9.95000E+00,8.49561E-03,2.07623E+00,1.52030E+01,9.87211E+01
1.00000E+01,8.05885E-03,2.08873E+00,1.50437E+01,1.00763E+02
1.00500E+01,8.02280E-03,2.06354E+00,1.49781E+01,9.91165E+01
1.01000E+01,8.13958E-03,2.02333E+00,1.52981E+01,1.00244E+02
1.01500E+01,7.91815E-03,2.00202E+00,1.57924E+01,9.93175E+01
1.02000E+01,7.91392E-03,2.01055E+00,1.56146E+01,9.96296E+01
1.02500E+01,7.72034E-03,2.09356E+00,1.57675E+01,1.01519E+02
1.03000E+01,7.85060E-03,2.06390E+00,1.53616E+01,9.85493E+01
1.03500E+01,7.74535E-03,2.06928E+00,1.55201E+01,1.00607E+02
1.04000E+01,7.77748E-03,2.04641E+00,1.52794E+01,9.96819E+01
1.04500E+01,7.87502E-03,2.07045E+00,1.45729E+01,1.00768E+02
1.05000E+01,7.98815E-03,2.08123E+00,1.52611E+01,1.00526E+02
1.05500E+01,7.65375E-03,2.03582E+00,1.50763E+01,1.00135E+02
1.06000E+01,7.55333E-03,2.14075E+00,1.51261E+01,1.00103E+02
1.06500E+01,7.59328E-03,2.12760E+00,1.50968E+01,9.95420E+01
1.07000E+01,7.69574E-03,2.12145E+00,1.52335E+01,1.00645E+02
1.07500E+01,7.79778E-03,2.11520E+00,1.51171E+01,9.93748E+01
1.08000E+01,7.78751E-03,2.04369E+00,1.52352E+01,1.01134E+02
1.08500E+01,7.90787E-03,2.03860E+00,1.48042E+01,9.91405E+01
1.09000E+01,7.87017E-03,2.06925E+00,1.51727E+01,1.00690E+02
1.09500E+01,7.83136E-03,2.06516E+00,1.54583E+01,9.86997E+01
1.10000E+01,7.70099E-03,2.00062E+00,1.52852E+01,1.00304E+02
1.10500E+01,7.91057E-03,1.96489E+00,1.53029E+01,9.96893E+01
1.11000E+01,7.92129E-03,2.04894E+00,1.52521E+01,9.93221E+01
1.11500E+01,7.87626E-03,2.06938E+00,1.46311E+01,9.98829E+01
1.12000E+01,8.17084E-03,2.09496E+00,1.46509E+01,1.00734E+02
1.12500E+01,7.80382E-03,2.07697E+00,1.50460E+01,9.93358E+01
1.13000E+01,7.95899E-03,2.09023E+00,1.50325E+01,1.00792E+02
1.13500E+01,8.11688E-03,2.00062E+00,1.54152E+01,9.98098E+01
1.14000E+01,8.42434E-03,2.07048E+00,1.50416E+01,9.74660E+01
1.14500E+01,8.52228E-03,2.03149E+00,1.47870E+01,9.81477E+01
1.15000E+01,8.35502E-03,2.00971E+00,1.49505E+01,9.94258E+01
1.15500E+01,8.43927E-03,2.05949E+00,1.46795E+01,9.90269E+01
1.16000E+01,8.60089E-03,2.04087E+00,1.46263E+01,1.00225E+02
1.16500E+01,8.69747E-03,1.94227E+00,1.48823E+01,1.01292E+02
1.17000E+01,8.60798E-03,1.91792E+00,1.52636E+01,9.91463E+01
1.17500E+01,8.47213E-03,1.91596E+00,1.49947E+01,9.92527E+01
1.18000E+01,8.36666E-03,1.94418E+00,1.49808E+01,1.00967E+02
1.18500E+01,8.48441E-03,1.90106E+00,1.51367E+01,9.91665E+01
1.19000E+01,8.22836E-03,1.87554E+00,1.48415E+01,1.00939E+02
1.19500E+01,8.33803E-03,1.85329E+00,1.55376E+01,1.00689E+02
1.20000E+01,8.47485E-03,1.80975E+00,1.49297E+01,1.00584E+02
1.20500E+01,8.44878E-03,1.83593E+00,1.49949E+01,1.00335E+02
1.21000E+01,8.41095E-03,1.88563E+00,1.49698E+01,1.00134E+02
1.21500E+01,8.38794E-03,1.90141E+00,1.50139E+01,9.88567E+01
1.22000E+01,8.57789E-03,1.94542E+00,1.50033E+01,1.00497E+02
1.22500E+01,8.77235E-03,1.93739E+00,1.46772E+01,9.81784E+01
1.23000E+01,9.15515E-03,1.92074E+00,1.50944E+01,9.65082E+01
1.23500E+01,9.04086E-03,1.86980E+00,1.48227E+01,9.95034E+01
1.24000E+01,9.39725E-03,1.90145E+00,1.51817E+01,9.93866E+01
1.24500E+01,9.48702E-03,1.94126E+00,1.50491E+01,1.01140E+02
1.25000E+01,9.87181E-03,1.99877E+00,1.49152E+01,1.00546E+02
1.25500E+01,9.53307E-03,2.00998E+00,1.45402E+01,9.97174E+01
1.26000E+01,9.39469E-03,2.02994E+00,1.50847E+01,9.87694E+01
1.26500E+01,9.65132E-03,2.04925E+00,1.50124E+01,1.00301E+02
1.27000E+01,9.37974E-03,2.05563E+00,1.53624E+01,1.00049E+02
1.27500E+01,9.04014E-03,2.04423E+00,1.51428E+01,9.89547E+01
1.28000E+01,9.37610E-03,2.04331E+00,1.53857E+01,1.00562E+02
1.28500E+01,9.34045E-03,1.99868E+00,1.55479E+01,1.01176E+02
1.29000E+01,9.22152E-03,1.95748E+00,1.53270E+01,9.99443E+01
1.29500E+01,8.69276E-03,1.93777E+00,1.52807E+01,1.00122E+02
1.30000E+01,8.68187E-03,1.92864E+00,1.52448E+01,1.00448E+02
1.30500E+01,8.44390E-03,1.94984E+00,1.52296E+01,9.89698E+01
1.31000E+01,8.22780E-03,1.92472E+00,1.46501E+01,9.88734E+01
1.31500E+01,8.31347E-03,1.95731E+00,1.49110E+01,9.91040E+01
1.32000E+01,8.34426E-03,1.95844E+00,1.48806E+01,9.89013E+01
1.32500E+01,8.40461E-03,2.02355E+00,1.47314E+01,1.00183E+02
1.33000E+01,8.72327E-03,1.99596E+00,1.49165E+01,9.87550E+01
1.33500E+01,8.85134E-03,1.98495E+00,1.50025E+01,1.01163E+02
1.34000E+01,8.71984E-03,1.98188E+00,1.44781E+01,9.95716E+01
1.34500E+01,8.62785E-03,2.02349E+00,1.46684E+01,9.93589E+01
1.35000E+01,8.82597E-03,2.08085E+00,1.50993E+01,1.00719E+02
1.35500E+01,8.83450E-03,2.05322E+00,1.50497E+01,1.00298E+02
1.36000E+01,8.63490E-03,2.05325E+00,1.51401E+01,9.94026E+01
1.36500E+01,8.36209E-03,2.04869E+00,1.52290E+01,9.91179E+01
1.37000E+01,8.36730E-03,2.00052E+00,1.45052E+01,1.00974E+02
1.37500E+01,8.50595E-03,2.05492E+00,1.48528E+01,1.00227E+02
1.38000E+01,8.70506E-03,2.06470E+00,1.48642E+01,9.92251E+01
1.38500E+01,9.04863E-03,2.07651E+00,1.49720E+01,1.00366E+02
1.39000E+01,8.91628E-03,2.08061E+00,1.49310E+01,1.00776E+02
1.39500E+01,8.89473E-03,2.13558E+00,1.50740E+01,1.01811E+02
1.40000E+01,8.91322E-03,2.06204E+00,1.51426E+01,9.96642E+01
1.40500E+01,8.77550E-03,2.14608E+00,1.49740E+01,9.98395E+01
1.41000E+01,8.82399E-03,2.12558E+00,1.53591E+01,1.00794E+02
1.41500E+01,9.01868E-03,2.03256E+00,1.50901E+01,1.02236E+02
